Postcode,State,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,Population,Income_Midpoint,Age_Midpoint
3029,VIC,Internal Combustion Engine,80997, $150-$299, 75-84 years,162,224.5,79.5
3029,VIC,Internal Combustion Engine,80997," $3,000-$3499", 25-34 years,176,3249.5,29.5
3029,VIC,Internal Combustion Engine,80997," $1,500-$1,749", 85 years and over,5,1624.5,85+
3029,VIC,Internal Combustion Engine,80997, $800-$999, 15-19 years,82,899.5,17.0
3029,VIC,Internal Combustion Engine,80997, $500-$649, 20-24 years,900,574.5,22.0
3029,VIC,Internal Combustion Engine,80997," $3,000-$3499", 45-54 years,203,3249.5,49.5
3029,VIC,Internal Combustion Engine,80997," $1,000-$1,249", 25-34 years,3439,1124.5,29.5
3029,VIC,Internal Combustion Engine,80997, $500-$649, 85 years and over,56,574.5,85+
3029,VIC,Internal Combustion Engine,80997," $1,500-$1,749", 20-24 years,153,1624.5,22.0
3029,VIC,Internal Combustion Engine,80997, $400-$499, 35-44 years,849,449.5,39.5
3029,VIC,Internal Combustion Engine,80997, $650-$799, 55-64 years,623,724.5,59.5
3029,VIC,Internal Combustion Engine,80997, $800-$999, 25-34 years,3102,899.5,29.5
3029,VIC,Internal Combustion Engine,80997, $500-$649, 75-84 years,252,574.5,79.5
3029,VIC,Internal Combustion Engine,80997," $1,000-$1,249", 15-19 years,37,1124.5,17.0
3029,VIC,Internal Combustion Engine,80997," $1,250-$1,499", 45-54 years,1157,1374.5,49.5
3029,VIC,Internal Combustion Engine,80997, $1-$149, 45-54 years,163,75.0,49.5
3029,VIC,Internal Combustion Engine,80997, $150-$299, 85 years and over,32,224.5,85+
3029,VIC,Internal Combustion Engine,80997," $3,500 or more", 55-64 years,107,3500+,59.5
3029,VIC,Internal Combustion Engine,80997, $150-$299, 25-34 years,804,224.5,29.5
3029,VIC,Internal Combustion Engine,80997," $3,000-$3499", 75-84 years,3,3249.5,79.5
3029,VIC,Internal Combustion Engine,80997, Total, 20-24 years,8490,0,22.0
3029,VIC,Internal Combustion Engine,80997," $1,750-$1,999", 75-84 years,5,1874.5,79.5
3029,VIC,Internal Combustion Engine,80997, Total, 85 years and over,541,0,85+
3029,VIC,Internal Combustion Engine,80997, $400-$499, 25-34 years,1052,449.5,29.5
3029,VIC,Internal Combustion Engine,80997," $2,000-$2,999", 35-44 years,2799,2499.5,39.5
3029,VIC,Internal Combustion Engine,80997," $1,000-$1,249", 55-64 years,928,1124.5,59.5
3029,VIC,Internal Combustion Engine,80997, $800-$999, 45-54 years,1368,899.5,49.5
3029,VIC,Internal Combustion Engine,80997," $1,500-$1,749", 15-19 years,3,1624.5,17.0
3029,VIC,Internal Combustion Engine,80997," $1,000-$1,249", 85 years and over,4,1124.5,85+
3029,VIC,Internal Combustion Engine,80997, $800-$999, 20-24 years,1054,899.5,22.0
3029,VIC,Internal Combustion Engine,80997, $650-$799, 65-74 years,384,724.5,69.5
3029,VIC,Internal Combustion Engine,80997, Negative/Nil income, 55-64 years,1542,0,59.5
3029,VIC,Internal Combustion Engine,80997," $2,000-$2,999", 65-74 years,74,2499.5,69.5
3029,VIC,Internal Combustion Engine,80997, $300-$399, 35-44 years,744,349.5,39.5
3029,VIC,Internal Combustion Engine,80997," $1,250-$1,499", 55-64 years,642,1374.5,59.5
3029,VIC,Internal Combustion Engine,80997, $650-$799, 25-34 years,1970,724.5,29.5
3029,VIC,Internal Combustion Engine,80997," $1,250-$1,499", 75-84 years,30,1374.5,79.5
3029,VIC,Internal Combustion Engine,80997, Total, 35-44 years,25580,0,39.5
3029,VIC,Internal Combustion Engine,80997, $400-$499, 55-64 years,483,449.5,59.5
3029,VIC,Internal Combustion Engine,80997," $1,750-$1,999", 45-54 years,692,1874.5,49.5
3029,VIC,Internal Combustion Engine,80997, $300-$399, 20-24 years,662,349.5,22.0
3029,VIC,Internal Combustion Engine,80997, Not stated, 25-34 years,2410,0,29.5
3029,VIC,Internal Combustion Engine,80997," $3,500 or more", 75-84 years,9,3500+,79.5
3029,VIC,Internal Combustion Engine,80997," $2,000-$2,999", 85 years and over,6,2499.5,85+
3029,VIC,Internal Combustion Engine,80997, $1-$149, 75-84 years,68,75.0,79.5
3029,VIC,Internal Combustion Engine,80997," $3,500 or more", 25-34 years,143,3500+,29.5
3029,VIC,Internal Combustion Engine,80997, $400-$499, 65-74 years,803,449.5,69.5
3029,VIC,Internal Combustion Engine,80997," $1,250-$1,499", 85 years and over,4,1374.5,85+
3029,VIC,Internal Combustion Engine,80997, $400-$499, 75-84 years,486,449.5,79.5
3029,VIC,Internal Combustion Engine,80997," $1,750-$1,999", 25-34 years,980,1874.5,29.5
3029,VIC,Internal Combustion Engine,80997, Total, 55-64 years,9079,0,59.5
3029,VIC,Internal Combustion Engine,80997, $1-$149, 15-19 years,1036,75.0,17.0
3029,VIC,Internal Combustion Engine,80997, $800-$999, 55-64 years,851,899.5,59.5
3029,VIC,Internal Combustion Engine,80997," $3,500 or more", 20-24 years,9,3500+,22.0
3029,VIC,Internal Combustion Engine,80997, Total, 65-74 years,5903,0,69.5
3029,VIC,Internal Combustion Engine,80997, Negative/Nil income, 25-34 years,2514,0,29.5
3029,VIC,Internal Combustion Engine,80997," $1,250-$1,499", 25-34 years,2443,1374.5,29.5
3029,VIC,Internal Combustion Engine,80997, $650-$799, 15-19 years,127,724.5,17.0
3029,VIC,Internal Combustion Engine,80997, $1-$149, 65-74 years,204,75.0,69.5
3029,VIC,Internal Combustion Engine,80997," $1,250-$1,499", 20-24 years,356,1374.5,22.0
3029,VIC,Internal Combustion Engine,80997, $400-$499, 20-24 years,693,449.5,22.0
3029,VIC,Internal Combustion Engine,80997, $400-$499, 15-19 years,188,449.5,17.0
3029,VIC,Internal Combustion Engine,80997, $650-$799, 75-84 years,156,724.5,79.5
3029,VIC,Internal Combustion Engine,80997, $650-$799, 85 years and over,31,724.5,85+
3029,VIC,Internal Combustion Engine,80997," $3,500 or more", 35-44 years,414,3500+,39.5
3029,VIC,Internal Combustion Engine,80997, $500-$649, 45-54 years,686,574.5,49.5
3029,VIC,Internal Combustion Engine,80997," $1,250-$1,499", 65-74 years,182,1374.5,69.5
3029,VIC,Internal Combustion Engine,80997, Total, 15-19 years,6815,0,17.0
3029,VIC,Internal Combustion Engine,80997, $650-$799, 35-44 years,1695,724.5,39.5
3029,VIC,Internal Combustion Engine,80997, $150-$299, 35-44 years,709,224.5,39.5
3029,VIC,Internal Combustion Engine,80997, $300-$399, 45-54 years,525,349.5,49.5
3029,VIC,Internal Combustion Engine,80997, $400-$499, 85 years and over,152,449.5,85+
3029,VIC,Internal Combustion Engine,80997," $2,000-$2,999", 55-64 years,492,2499.5,59.5
3029,VIC,Internal Combustion Engine,80997, $1-$149, 55-64 years,240,75.0,59.5
3029,VIC,Internal Combustion Engine,80997," $3,500 or more", 45-54 years,210,3500+,49.5
3029,VIC,Internal Combustion Engine,80997, $150-$299, 15-19 years,680,224.5,17.0
3029,VIC,Internal Combustion Engine,80997, $1-$149, 20-24 years,343,75.0,22.0
3029,VIC,Internal Combustion Engine,80997, $400-$499, 45-54 years,512,449.5,49.5
3029,VIC,Internal Combustion Engine,80997," $1,750-$1,999", 55-64 years,381,1874.5,59.5
3029,VIC,Internal Combustion Engine,80997," $3,500 or more", 65-74 years,25,3500+,69.5
3029,VIC,Internal Combustion Engine,80997, $1-$149, 35-44 years,348,75.0,39.5
3029,VIC,Internal Combustion Engine,80997," $3,500 or more", 85 years and over,3,3500+,85+
3029,VIC,Internal Combustion Engine,80997, Total, 45-54 years,12319,0,49.5
3029,VIC,Internal Combustion Engine,80997, $150-$299, 55-64 years,436,224.5,59.5
3029,VIC,Internal Combustion Engine,80997, $800-$999, 75-84 years,90,899.5,79.5
3030,VIC,Internal Combustion Engine,77870, $300-$399, 45-54 years,572,349.5,49.5
